INDUSTRY,SUBSCRIPTION_FEE,JOB_ACTIVITY_2,JOB_ACTIVITY_3,JOB_ACTIVITY_4,JOB_ACTIVITY_1,JOB_ACTIVITY_5,PAYMENT_TYPE_1,PAYMENT_TYPE_2,PAYMENT_TYPE_3,PAYMENT_TYPE_4,PAYMENT_TYPE_5,COMPANY_SIZE
C,83,0,14,7,111,4,3003.42,0.0,0.0,0.0,1860.42,A
A,46,73,121,125,133,84,28043.9,14673.9,0.0,980.0,2592.5,A
F,16,36,38,0,34,1,0.0,0.0,0.0,0.0,0.0,C
C,46,0,18,18,21,11,13765.17,3858.45,3858.45,0.0,9906.72,C
C,91,5,4,2,10,1,310.0,0.0,0.0,200.0,110.0,B
A,156,0,37,1,150,0,200.0,0.0,0.0,0.0,0.0,B
A,41,17,18,20,20,13,3722.4,1035.0,0.0,665.0,1214.4,C
D,16,0,5,4,2,1,550.0,0.0,0.0,0.0,200.0,C
D,16,0,3,1,0,0,250.0,250.0,0.0,0.0,0.0,C
C,46,27,57,42,63,42,21726.81,11310.77,11310.77,250.0,10166.04,B
B,15,0,32,4,32,4,2985.0,0.0,0.0,0.0,2985.0,C
B,98,183,260,125,263,90,99873.69,47965.9,0.0,2677.0,45122.79,A
B,194,32,57,58,113,49,94063.46,0.0,0.0,0.0,0.0,A
C,66,209,217,74,233,49,30387.38,0.0,0.0,3735.73,22024.95,A
B,52,34,49,31,52,9,15311.88,91.03,0.0,5766.0,7137.9,B
E,41,34,44,45,45,30,13392.8,9300.8,9300.8,961.0,3032.0,B
E,16,0,6,0,2,0,0.0,0.0,0.0,0.0,0.0,C
A,46,1,2,2,3,1,392.79,0.0,0.0,0.0,392.79,B
D,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,138,42,79,74,81,59,28708.13,9703.07,0.0,1150.45,17854.61,A
C,36,0,313,0,337,0,0.0,0.0,0.0,0.0,0.0,A
A,33,0,2,5,0,0,2780.0,2550.0,0.0,0.0,230.0,B
B,46,25,54,45,57,42,30810.0,3910.0,0.0,870.0,21695.0,B
A,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
E,28,1,24,27,23,23,2710.75,0.0,0.0,185.0,2525.75,C
C,15,1,4,9,7,1,1265.0,0.0,0.0,810.0,335.0,C
C,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
E,83,33,193,186,219,74,57852.89,12706.25,0.0,260.0,44886.64,A
F,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,356,0,63,1,72,1,108.8,108.8,0.0,0.0,0.0,B
C,16,0,5,6,0,0,5973.0,0.0,0.0,0.0,5973.0,C
B,15,0,11,14,0,0,27267.45,2055.0,0.0,0.0,25212.45,C
C,83,120,177,0,198,0,0.0,0.0,0.0,0.0,0.0,A
A,41,101,114,2,123,2,650.0,450.0,0.0,200.0,0.0,A
E,15,2,32,27,29,1,2558.48,0.0,0.0,1293.49,0.0,C
B,46,1,12,10,14,9,14484.12,0.0,0.0,80.0,12604.12,B
F,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
B,84,52,83,74,92,65,75742.34,6083.94,0.0,325.0,27942.1,A
C,43,77,104,79,112,64,67856.15,40664.42,0.0,0.0,27191.73,A
B,39,0,1,0,4,0,0.0,0.0,0.0,0.0,0.0,B
C,46,0,41,36,35,5,26859.71,12621.35,3374.0,0.0,14238.36,B
A,40,248,290,294,323,56,54982.5,14930.0,14930.0,3865.0,21972.5,A
A,23,0,2,0,203,0,0.0,0.0,0.0,0.0,0.0,B
B,52,8,20,11,25,11,5091.12,3749.87,0.0,0.0,1341.25,B
C,46,4,13,10,7,3,5425.0,1945.0,0.0,1045.0,1035.0,B
A,30,0,2,6,0,0,1608.5,1023.5,192.5,0.0,585.0,C
C,46,45,53,37,54,18,27847.0,24338.0,0.0,795.0,2714.0,B
D,79,1,30,28,1,28,8725.85,3456.25,2957.25,0.0,674.6,C
E,99,0,4,1,7,0,300.0,0.0,0.0,300.0,0.0,B
E,48,120,129,109,114,99,45918.58,29244.07,0.0,1149.18,15525.33,B
A,30,0,34,30,20,28,3710.75,2130.75,2130.75,1340.0,240.0,C
B,64,6,8,8,13,6,33699.98,33699.98,0.0,0.0,0.0,B
D,46,27,206,203,206,167,83349.96,0.0,0.0,0.0,42629.49,A
B,41,52,85,11,92,10,6435.0,1637.5,0.0,0.0,4797.5,B
A,16,0,11,23,0,0,2982.2,0.0,0.0,101.65,2880.55,C
B,136,20,20,6,29,3,3472.65,1046.0,0.0,792.9,1633.75,A
A,41,5,15,8,25,4,1497.0,572.0,0.0,0.0,925.0,B
A,46,2,34,26,17,15,5143.0,1033.0,0.0,400.0,2990.0,B
C,46,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,B
E,41,8,57,34,59,33,6252.49,1902.5,0.0,0.0,4349.99,B
E,41,29,35,34,35,26,9056.22,1645.39,679.65,250.0,6286.24,B
C,46,64,84,72,83,48,17925.76,5509.67,0.0,75.0,12341.09,B
C,83,246,286,270,301,186,79989.53,54082.56,0.0,1685.0,23816.97,A
F,46,0,0,2,0,0,5101.12,1716.2,0.0,85.0,3299.92,B
E,83,67,75,92,63,38,87618.91,42643.23,0.0,0.0,43640.68,A
A,46,2,2,0,3,0,0.0,0.0,0.0,0.0,0.0,B
E,44,16,75,54,78,51,10525.17,2470.0,0.0,240.0,6684.17,B
F,83,87,86,40,125,37,69191.69,60590.51,0.0,0.0,8601.18,A
D,46,0,146,154,0,0,35647.75,200.0,0.0,200.0,33687.75,C
C,66,208,215,180,269,103,32678.75,0.0,0.0,1505.0,6317.0,A
E,23,3,20,19,16,3,4117.72,901.73,0.0,606.21,1757.8,C
E,41,1,58,56,66,17,12870.0,5300.0,5300.0,350.0,6915.0,C
C,59,0,19,11,30,6,51500.0,21350.0,0.0,0.0,10615.0,B
C,46,42,58,37,66,30,43879.1,4820.1,0.0,0.0,35488.0,B
E,246,17,44,43,44,34,9960.0,0.0,0.0,170.0,8460.0,B
B,41,1,2,0,2,0,0.0,0.0,0.0,0.0,0.0,B
C,83,83,116,121,122,61,62181.08,9489.28,0.0,3070.0,48981.8,A
B,46,73,141,117,151,102,21622.28,4387.47,0.0,179.0,13855.81,B
D,83,11,21,11,10,10,16112.5,7100.0,0.0,0.0,9012.5,A
C,46,7,32,27,34,25,12765.75,856.75,0.0,350.0,11559.0,B
D,46,0,1,0,2,0,0.0,0.0,0.0,0.0,0.0,B
E,3,40,79,73,54,11,26296.27,5059.02,0.0,1474.0,19049.55,A
C,83,32,31,39,41,35,38814.0,16185.0,0.0,300.0,18779.0,B
B,16,0,3,3,3,1,4450.0,0.0,0.0,0.0,4450.0,C
B,36,0,26,27,38,26,7753.85,3123.35,0.0,158.5,4472.0,B
C,52,62,70,54,77,29,34646.96,612.53,0.0,0.0,34034.43,B
A,46,109,120,107,286,30,15984.75,3271.0,3271.0,820.0,8463.75,A
C,6,0,1,1,0,0,1400.0,0.0,0.0,0.0,1400.0,C
B,48,2,2,1,3,0,79.0,0.0,0.0,0.0,79.0,C
F,36,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,B
E,43,34,44,42,46,10,9637.38,2608.56,1332.76,1373.65,5286.98,B
E,46,151,178,166,205,102,77713.53,31103.94,0.0,2588.92,30246.98,B
E,41,0,4,5,2,0,841.0,161.0,0.0,480.0,200.0,C
B,73,28,29,25,36,26,51774.65,6330.01,0.0,0.0,44574.35,A
E,384,77,78,75,64,12,12305.49,4876.23,0.0,1109.56,5041.82,B
C,59,21,28,22,25,20,160176.53,3927.4,3927.4,0.0,156249.13,B
E,46,25,29,21,29,0,3181.0,0.0,0.0,260.0,1431.0,B
E,23,18,19,0,36,0,0.0,0.0,0.0,0.0,0.0,C
B,48,28,34,20,36,18,31265.22,15178.86,0.0,74.1,887.26,B
A,46,19,79,258,187,16,35263.88,9461.38,0.0,555.0,18005.0,A
C,23,15,46,38,42,19,7569.26,1810.3,0.0,200.0,5072.45,C
A,83,0,5,0,127,0,0.0,0.0,0.0,0.0,0.0,A
C,83,1,0,0,1,0,0.0,0.0,0.0,0.0,0.0,A
B,30,2,7,6,2,2,3585.0,0.0,0.0,0.0,2990.0,C
A,52,116,116,124,458,54,15481.2,7351.0,0.0,960.0,7020.4,A
A,83,43,187,155,245,142,17455.78,11196.28,0.0,140.0,6119.5,A
E,16,0,7,10,5,0,3538.0,2268.0,0.0,0.0,1270.0,C
C,46,0,13,13,10,6,22056.39,17263.59,0.0,0.0,4792.8,C
E,285,33,201,57,2129,42,28021.96,1845.2,0.0,140.0,26036.76,A
B,16,0,7,6,0,0,2235.0,2000.0,1600.0,0.0,235.0,B
C,83,93,263,206,254,206,182944.52,0.0,0.0,0.0,163531.32,A
A,46,10,9,9,297,1,6800.0,790.0,0.0,0.0,6010.0,B
E,40,34,35,32,39,18,14082.86,5409.45,5409.45,2530.0,4330.56,B
F,46,125,137,156,135,7,102336.71,0.0,0.0,0.0,1094.91,B
A,46,40,106,110,258,15,8556.08,2026.5,2026.5,632.5,5897.0,A
E,33,0,43,33,50,20,3252.5,1870.5,0.0,810.0,572.0,B
E,46,4,106,100,103,100,20096.75,4010.98,0.0,375.5,15710.27,B
B,41,0,6,11,0,11,31841.12,0.0,0.0,1374.0,30467.12,B
D,41,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
C,16,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,C
E,46,5,13,14,15,5,5402.65,0.0,0.0,326.35,4024.91,B
A,6,0,0,0,2142,0,0.0,0.0,0.0,0.0,0.0,B
F,46,0,51,37,66,17,27364.02,4141.07,0.0,0.0,23222.95,B
C,30,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
A,40,0,8,8,6,3,5217.93,5217.93,0.0,0.0,0.0,A
B,16,0,27,13,26,2,119936.76,0.0,0.0,100.0,115754.76,C
E,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
A,67,64,95,113,98,53,39554.06,17561.57,0.0,1180.0,13370.24,A
C,46,12,21,8,21,9,6706.05,0.0,0.0,0.0,272.9,B
C,46,40,107,89,55,82,66021.83,40457.24,0.0,593.99,24970.6,B
B,75,178,178,135,183,123,80088.54,0.0,0.0,16488.85,24567.04,B
C,46,32,33,1,45,1,1181.0,0.0,0.0,0.0,573.0,B
C,17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
A,23,40,89,76,77,46,22291.0,726.0,726.0,731.0,20834.0,A
C,59,49,79,67,102,32,45339.89,7283.05,0.0,0.0,38056.84,B
D,23,5,5,27,409,16,1674.9,420.43,0.0,414.48,839.99,C
B,54,0,9,8,6,2,43309.99,13123.99,0.0,0.0,1450.0,B
E,41,0,0,0,53,0,0.0,0.0,0.0,0.0,0.0,B
A,108,39,38,35,67,9,8163.13,583.13,0.0,500.0,7080.0,A
A,46,24,87,47,200,6,4960.0,440.0,0.0,165.0,4355.0,B
E,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,A
C,46,8,37,44,36,18,49351.8,3105.0,0.0,0.0,46246.8,B
A,46,0,216,221,336,8,32085.0,0.0,0.0,10115.0,21560.0,A
D,46,0,9,51,4,50,37838.55,8268.03,0.0,0.0,25337.08,B
B,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
A,16,578,608,525,871,23,59048.71,0.0,0.0,0.0,2852.0,A
B,46,2,9,0,18,0,0.0,0.0,0.0,0.0,0.0,B
C,46,42,79,65,76,49,34555.06,17524.38,0.0,0.0,17030.68,B
A,46,6,14,13,13,10,12451.0,0.0,0.0,350.0,12101.0,B
C,46,32,33,28,31,28,9380.75,5323.75,0.0,707.0,3350.0,B
A,79,0,0,1,1,0,1.0,1.0,0.0,0.0,0.0,A
B,75,35,52,19,68,2,10714.21,2579.94,0.0,0.0,8134.27,A
C,46,0,41,41,35,52,77306.54,10878.89,0.0,0.0,47002.43,B
B,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
C,83,36,62,48,80,28,35656.0,15345.0,15345.0,1640.0,18671.0,A
D,46,0,21,8,18,1,2204.27,182.85,0.0,181.26,1840.16,B
E,26,0,17,18,18,8,1683.25,370.25,0.0,0.0,1313.0,B
E,28,18,46,40,57,10,8468.59,2362.25,2362.25,630.0,5476.34,B
A,28,7,9,8,9,3,3647.0,653.0,653.0,360.0,2634.0,C
E,41,0,23,0,28,0,0.0,0.0,0.0,0.0,0.0,B
B,46,129,264,261,163,46,56278.0,6470.0,0.0,3486.0,31929.0,B
A,16,3,16,17,15,12,4747.12,685.58,0.0,225.83,3835.71,C
D,8,0,13,18,7,18,35249.78,3902.0,0.0,0.0,31347.78,A
B,46,0,1,4,4,0,27368.67,0.0,0.0,0.0,27368.67,B
B,46,26,38,42,38,34,26626.6,1208.75,0.0,774.0,23944.95,B
C,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,15,0,25,24,21,7,7004.75,0.0,0.0,1996.0,4050.0,C
B,16,9,9,9,10,9,3620.8,1507.8,0.0,0.0,2113.0,C
A,10,4,10,16,13,7,5708.82,0.0,0.0,232.34,5057.74,A
A,46,28,102,117,355,10,14981.65,0.0,0.0,545.0,8670.0,A
B,30,11,8,7,18,2,1622.0,585.0,0.0,0.0,1037.0,C
C,33,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,B
E,41,5,33,25,38,0,9128.92,0.0,0.0,0.0,0.0,B
B,46,72,133,108,132,1,25642.96,0.0,0.0,2419.81,18812.45,B
B,52,8,10,9,13,7,15691.29,3425.45,3425.45,5900.0,1365.84,B
B,16,0,4,5,0,0,2151.05,0.0,0.0,0.0,0.0,C
B,56,21,24,11,28,10,2636.42,1747.5,0.0,0.0,664.92,B
C,21,14,41,38,58,18,10137.78,0.0,0.0,2316.07,6214.88,B
E,83,89,141,68,169,64,11590.0,0.0,0.0,0.0,11355.0,A
E,41,7,9,7,7,6,1459.44,645.69,0.0,0.0,149.0,C
F,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,C
A,83,239,304,0,699,0,0.0,0.0,0.0,0.0,0.0,A
B,41,0,5,5,1,0,3171.25,1.0,0.0,0.0,3170.25,B
C,83,86,270,223,284,159,165650.52,29811.25,0.0,3179.0,63821.76,A
B,41,54,49,0,67,0,0.0,0.0,0.0,0.0,0.0,B
C,83,0,3,0,3,0,0.0,0.0,0.0,0.0,0.0,B
B,46,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
A,46,18,21,3,15,2,711.0,411.0,0.0,0.0,300.0,A
F,16,0,18,4,0,0,3677.89,0.0,0.0,365.0,3312.89,C
B,16,0,2,3,0,0,245.0,0.0,0.0,85.0,160.0,C
F,46,0,11,13,10,0,37971.37,0.0,0.0,2929.95,0.0,B
B,48,19,47,35,61,30,43256.5,20663.5,0.0,758.0,21775.0,B
C,79,14,25,8,53,3,7493.08,0.0,0.0,0.0,435.03,B
F,6,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,B
F,46,0,19,21,0,0,9051.76,2340.0,0.0,1550.0,4685.0,B
B,83,16,72,48,92,47,146115.36,6605.0,0.0,190.0,139320.36,A
